,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
1714,Comedy,39.0,4.5,4.5,11.0,39.0,20000000.0
1715,Crime,38.0,5.1,5.1,0.0,38.0,0.0
1716,Action,0.0,7.1,7.1,82.0,0.0,0.0
1717,Drama,49.0,5.8,5.8,42.0,49.0,0.0
1718,Drama,52.0,5.9,5.9,52.0,52.0,9000000.0
1719,Comedy,0.0,6.2,6.2,80.0,0.0,0.0
1720,Drama,0.0,3.5,3.5,39.0,0.0,0.0
1721,Action,0.0,8.1,8.1,80.0,0.0,0.0
1722,Drama,0.0,6.5,6.5,60.0,0.0,0.0
1723,Fantasy,0.0,6.5,6.5,0.0,0.0,5000000.0
1724,Action,0.0,7.2,7.2,38.0,0.0,0.0
1725,Action,0.0,5.3,5.3,8.0,0.0,0.0
1726,Action,0.0,8.2,8.2,0.0,0.0,0.0
1727,Drama,0.0,6.0,6.0,0.0,0.0,0.0
1728,Drama,57.0,5.4,5.4,59.0,57.0,0.0
1729,Biography,10.0,5.9,5.9,42.0,10.0,6000000.0
1730,Action,0.0,2.2,2.2,6.0,0.0,0.0
1731,Action,33.0,6.3,6.3,44.0,33.0,0.0
1732,Comedy,0.0,6.3,6.3,31.0,0.0,0.0
1733,Comedy,0.0,6.6,6.6,23.0,0.0,0.0
1734,Sport,0.0,6.0,6.0,50.0,0.0,0.0
1735,Animation,0.0,7.4,7.4,0.0,0.0,0.0
1736,Comedy,61.0,5.2,5.2,83.0,61.0,0.0
1737,Animation,0.0,6.2,6.2,60.0,0.0,0.0
1738,Drama,65.0,6.3,6.3,90.0,65.0,350000.0
1739,Comedy,82.0,6.7,6.7,89.0,82.0,0.0
1740,Action,0.0,6.6,6.6,15.0,0.0,0.0
1741,Action,0.0,6.3,6.3,95.0,0.0,0.0
1742,Drama,65.0,6.9,6.9,79.0,65.0,0.0
1743,Comedy,0.0,5.5,5.5,77.0,0.0,0.0
1744,Horror,53.0,4.8,4.8,67.0,53.0,0.0
1745,Action,0.0,5.6,5.6,0.0,0.0,0.0
1746,Action,0.0,4.7,4.7,32.0,0.0,0.0
1747,Musical,0.0,7.8,7.8,0.0,0.0,0.0
1748,Crime,57.0,6.4,6.4,58.0,57.0,0.0
1749,Horror,0.0,6.0,6.0,0.0,0.0,2500000.0
1750,Action,0.0,3.5,3.5,0.0,0.0,1200000.0
1751,Musical,0.0,8.1,8.1,0.0,0.0,0.0
1752,Drama,0.0,6.8,6.8,0.0,0.0,0.0
1753,Comedy,0.0,4.7,4.7,0.0,0.0,0.0
1754,Comedy,0.0,5.9,5.9,0.0,0.0,0.0
1755,Action,0.0,5.6,5.6,40.0,0.0,0.0
1756,Action,0.0,4.2,4.2,30.0,0.0,0.0
1757,Comedy,0.0,5.7,5.7,0.0,0.0,0.0
1758,Comedy,0.0,4.1,4.1,13.0,0.0,0.0
1759,Action,0.0,6.1,6.1,83.0,0.0,0.0
1760,Crime,0.0,5.5,5.5,0.0,0.0,0.0
1761,Drama,83.0,6.5,6.5,90.0,83.0,0.0
1762,Drama,0.0,6.4,6.4,0.0,0.0,0.0
