title,rated,released,runtime,director,writer,actors,plot,language,country,awards,metascore,imdbrating,imdbvotes,dvd,boxoffice,response,genre,star,budget,gross,year,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating
Out of Blue,Unrated,2019-03-22,109,Carol Morley,"Martin Amis, Carol Morley","Mamie Gummer, Toby Jones, Bri Collins","When Detective Mike Hoolihan is called to investigate the shooting of leading astrophysicist and black hole expert, Jennifer Rockwell, she is affected in ways she struggles to comprehend.",English,"United Kingdom, United States",1 nomination,49.0,4.8,1848,29 Mar 2019,18779.0,True,Crime,Mamie Gummer,0.0,242847.0,2019,4.8,37.0,49.0
The Grinch,PG,2018-11-09,85,"Yarrow Cheney, Scott Mosier","Michael LeSieur, Tommy Swerdlow, Dr. Seuss","Benedict Cumberbatch, Cameron Seely, Rashida Jones",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,English,United States,1 win & 18 nominations,51.0,6.4,66743,05 Feb 2019,271094731.0,True,Animation,Benedict Cumberbatch,75000000.0,512492755.0,2018,6.4,59.0,51.0
Colette,R,2018-12-20,111,Wash Westmoreland,"Richard Glatzer, Wash Westmoreland, Rebecca Lenkiewicz","Keira Knightley, Fiona Shaw, Dominic West","Colette is pushed by her husband to write novels under his name. Upon their success, she fights to make her talents known, challenging gender norms.",English,"United Kingdom, United States, France, Hungary, Netherlands",1 win & 11 nominations,74.0,6.7,21952,04 Dec 2018,5137622.0,True,Biography,Keira Knightley,0.0,14273033.0,2018,6.7,87.0,74.0
Winchester,PG-13,2018-02-02,99,"Michael Spierig, Peter Spierig","Tom Vaughan, Michael Spierig, Peter Spierig","Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey","Ensconced in her sprawling San Jose, California mansion, eccentric firearm heiress Sarah Winchester (Dame Helen Mirren) believes she is haunted by the souls of people killed by the Winchester repeating rifle.",English,"Australia, United States",6 wins & 10 nominations,28.0,5.5,33115,01 Apr 2018,25091816.0,True,Biography,Helen Mirren,3500000.0,44019588.0,2018,5.5,13.0,28.0
The 15:17 to Paris,PG-13,2018-02-09,94,Clint Eastwood,"Dorothy Blyskal, Anthony Sadler, Alek Skarlatos","Alek Skarlatos, Anthony Sadler, Spencer Stone",Three courageous young Americans prevent a terrorist attack on a train bound for Paris.,"English, French, Arabic, German, Dutch",United States,1 win & 3 nominations,45.0,5.3,32158,22 May 2018,36276286.0,True,Biography,Alek Skarlatos,30000000.0,57076286.0,2018,5.3,23.0,45.0
Action Point,R,2018-06-01,85,Tim Kirkby,"John Altschuler, Dave Krinsky, Johnny Knoxville","Johnny Knoxville, Eleanor Worthington-Cox, Chris Pontius",A daredevil designs and operates his own theme park with his friends.,English,"United States, South Africa",NA,36.0,5.1,11016,21 Aug 2018,5059608.0,True,Comedy,Johnny Knoxville,19000000.0,5103663.0,2018,5.1,15.0,36.0
"Juliet, Naked",R,2018-08-17,97,Jesse Peretz,"Evgenia Peretz, Jim Taylor, Tamara Jenkins","Chris O'Dowd, Rose Byrne, Kitty O'Beirne","Annie (the long-suffering girlfriend of Duncan) has an unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession.",English,"United States, United Kingdom",1 win & 5 nominations,67.0,6.6,21877,13 Nov 2018,3444895.0,True,Comedy,Chris O'Dowd,0.0,4511157.0,2018,6.6,83.0,67.0
The Guilty,R,2021-10-01,90,Antoine Fuqua,"Nic Pizzolatto, Gustav Möller, Emil Nygaard Albertsen","Jake Gyllenhaal, Riley Keough, Peter Sarsgaard",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,English,United States,NA,63.0,6.3,102933,01 Oct 2021,0.0,True,Crime,Jakob Cedergren,0.0,4598051.0,2021,6.3,74.0,63.0
Never Look Away,R,2018-10-03,189,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,"Tom Schilling, Sebastian Koch, Paula Beer","German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime.","German, Russian","Germany, Italy",Nominated for 2 Oscars. 5 wins & 21 nominations total,68.0,7.8,19794,14 May 2019,1304042.0,True,Biography,Tom Schilling,0.0,6193234.0,2018,7.8,77.0,68.0
Vox Lux,R,2018-12-20,114,Brady Corbet,"Brady Corbet, Mona Fastvold","Natalie Portman, Jude Law, Stacy Martin",An unusual set of circumstances brings unexpected success to a pop star.,"English, Croatian, Chinese",United States,2 wins & 12 nominations,67.0,5.8,17624,04 Mar 2019,727119.0,True,Drama,Natalie Portman,0.0,1399272.0,2018,5.8,62.0,67.0
The Wind,R,2019-04-05,88,Emma Tammi,Teresa Sutherland,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman",A plains-woman faces the harshness and isolation of the untamed land in the Western frontier of the late 1800s.,English,United States,1 win & 7 nominations,66.0,5.6,7639,07 Apr 2019,28252.0,True,Horror,Caitlin Gerard,0.0,130974.0,2019,5.6,81.0,66.0
Super Troopers 2,R,2018-04-20,99,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",English,United States,2 wins & 2 nominations,41.0,6.1,25872,24 Jul 2012,30617396.0,True,Comedy,Jay Chandrasekhar,13500000.0,31626386.0,2018,6.1,21.0,41.0
Summer '03,Not Rated,2018-12-20,95,Becca Gleason,Becca Gleason,"Joey King, Paul Scheer, Andrea Savage",A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,English,United States,1 win & 4 nominations,45.0,5.5,3213,05 Feb 2019,11746.0,True,Comedy,Joey King,0.0,11746.0,2018,5.5,61.0,45.0
An Acceptable Loss,R,2019-01-18,102,Joe Chappelle,Joe Chappelle,"Tika Sumpter, Jamie Lee Curtis, Ben Tavassoli",Libby teaches at a university but 4 years ago she was top aide to VP Rachel and was part of a total victory action. Rachel is now US president and worried about Libby keeping quiet. Libby also has a student spying on her.,English,United States,NA,40.0,5.4,1369,18 Jan 2019,32427.0,True,Drama,Tika Sumpter,0.0,32427.0,2019,5.4,12.0,40.0
